signal_date,buy_date,sell_date,code,name,sector_2,sector_1,buy_open,sell_close,ret,score,day_change,vol_ratio,sector_chg,sector_rise
2025-01-10,2025-01-13,2025-01-15,002122.SZ,002122.SZ,通用设备,机械设备,3.85,4.64,0.2052,2.987,0.088,2.03,-0.0219,0.141
2025-01-10,2025-01-13,2025-01-15,600053.SH,600053.SH,多元金融,非银金融,14.06,14.69,0.0448,2.735,0.0999,2.68,-0.0207,0.037
2025-01-10,2025-01-13,2025-01-15,603666.SH,603666.SH,自动化设备,机械设备,25.78,26.16,0.0147,2.454,0.0998,2.77,-0.0105,0.235
2025-01-10,2025-01-13,2025-01-15,603990.SH,603990.SH,软件开发,计算机,13.0,12.67,-0.0254,2.39,0.1,3.45,-0.0291,0.068
2025-01-22,2025-01-23,2025-01-27,000882.SZ,000882.SZ,一般零售,商贸零售,3.27,3.38,0.0336,2.745,0.0993,2.72,-0.0269,0.082
2025-01-22,2025-01-23,2025-01-27,002771.SZ,002771.SZ,IT服务,计算机,17.81,16.97,-0.0472,2.323,0.0999,3.11,-0.0059,0.25
2025-01-23,2025-01-24,2025-02-05,600184.SH,600184.SH,地面兵装,国防军工,11.15,10.3,-0.0762,3.337,0.0997,3.81,0.0144,0.444
2025-01-27,2025-02-05,2025-02-07,603636.SH,南威软件,IT服务,计算机,13.72,14.39,0.0488,3.7,0.0996,8.33,-0.0094,0.302
2025-01-27,2025-02-05,2025-02-07,002256.SZ,002256.SZ,电力,公用事业,2.42,2.5,0.0331,3.211,0.1,4.17,0.0094,0.826
2025-01-27,2025-02-05,2025-02-07,002530.SZ,002530.SZ,IT服务,计算机,12.3,12.23,-0.0057,2.716,0.1,2.58,-0.0094,0.302
2025-01-27,2025-02-05,2025-02-07,600793.SH,600793.SH,造纸,轻工制造,20.7,19.83,-0.042,2.68,0.1,2.76,0.0107,0.727
2025-02-18,2025-02-19,2025-02-21,603956.SH,603956.SH,专用设备,机械设备,9.23,10.16,0.1008,2.911,0.0998,3.55,-0.0152,0.185
2025-02-18,2025-02-19,2025-02-21,603906.SH,603906.SH,化学制品,基础化工,11.44,11.89,0.0393,2.798,0.0997,2.99,-0.0184,0.172
